Source Code,Term Original,Value Set Name,Code System Name,Code System Version
368591000119109,Diabetic hand syndrome due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
371056000,Type II diabetes mellitus with complication,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
390716007,Diabetes mellitus autosomal dominant type 2,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
395204000,Hyperosmolar non-ketotic state due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
401111003,Type 2 diabetes mellitus with persistent proteinuria,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
401112005,Type 2 diabetes mellitus with persistent microalbuminuria,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
408417004,Type 2 diabetes mellitus with exudative maculopathy,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
408660003,Type II diabetes mellitus with ketoacidosis,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
41911000119107,Glaucoma due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
420279001,Renal disorder due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
420436000,Mononeuropathy due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
420715001,Persistent microalbuminuria due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
420756003,Cataract due to diabetes mellitus type 2,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
421326000,Disorder of nervous system due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
421631007,Gangrene due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
421750000,Ketoacidosis due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
421779007,Exudative maculopathy due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
421847006,Ketoacidotic coma due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
421986006,Persistent proteinuria due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
422014003,Disorder due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
422034002,Retinopathy due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
422099009,Disorder of eye due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
422166005,Peripheral circulatory disorder due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
427027005,Lumbosacral radiculoplexus neuropathy due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
427134009,Small vessel disease due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
428007007,Erectile dysfunction due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
44054006,Type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
443694000,Uncontrolled type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
444110003,Well controlled type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
445353002,Brittle type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
55626003,Diabetes mellitus type 2 in nonobese,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
60951000119105,Blindness due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
609567009,Pre-existing type 2 diabetes mellitus in pregnancy,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
701000119103,Mixed hyperlipidemia due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
703138006,Type II diabetes mellitus in remission,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
711000119100,Chronic kidney disease stage 5 due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
712883005,Autonomic neuropathy due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
713703005,Gastroparesis due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
713706002,Polyneuropathy due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
71421000119105,Hypertension in chronic kidney disease due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
71441000119104,Nephrotic syndrome due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
719216001,Hypoglycemic coma due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
72051000119101,Severe malnutrition due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
72061000119104,Osteomyelitis due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
721000119107,Chronic kidney disease stage 4 due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
721284006,Acidosis due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
731000119105,Chronic kidney disease stage 3 due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
741000119101,Chronic kidney disease stage 2 due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
751000119104,Chronic kidney disease stage 1 due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
761000119102,Dyslipidemia due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
769220000,Macular edema due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
771000119108,Chronic kidney disease due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
781000119106,Neuropathic arthropathy due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
789567007,Ulcer of heel due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
789569005,Neuropathic ulcer of heel due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
