Source Code,Term Original,Value Set Name,Code System Name,Code System Version
238094003,Familial hypobetalipoproteinemia - heterozygous form,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238095002,Apolipoprotein A-I deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238096001,Apolipoprotein A-I variant disorder,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238097005,Apo A-I Milano variant,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238098000,Apo A-I Marburg variant,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238099008,ApoA-I Munster variant 1,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238100000,ApoA-I Munster variant 2,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238101001,ApoA-I Munster variant 3,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238102008,Apo A-I Giessen variant,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238103003,Apo A-I variant fisheye-like syndrome,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238104009,Sitosterolemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
23849003,Sandhoff disease,"Dyslipidemia, All",SNOMED CT US Edition,20250901
240095001,Lipid storage myopathy,"Dyslipidemia, All",SNOMED CT US Edition,20250901
24326000,"Metachromatic leukodystrophy, adult type","Dyslipidemia, All",SNOMED CT US Edition,20250901
25362006,HSMN IV,"Dyslipidemia, All",SNOMED CT US Edition,20250901
267431006,Disorder of lipid metabolism,"Dyslipidemia, All",SNOMED CT US Edition,20250901
267432004,Pure hypercholesterolemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
267433009,Pure hyperglyceridemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
267434003,Mixed hyperlipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
267435002,Familial hyperchylomicronemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
267436001,Lipoprotein deficiency disorder,"Dyslipidemia, All",SNOMED CT US Edition,20250901
267499005,Disorders of lipid metabolism (& [Fredrickson types] or [hyperlipidemia]),"Dyslipidemia, All",SNOMED CT US Edition,20250901
272,Disorders of lipoid metabolism,"Dyslipidemia, All",ICD-9-CM Diagnosis,31/32
272.0,Pure hypercholesterolemia,"Dyslipidemia, All",ICD-9-CM Diagnosis,31/32
272.1,Pure hyperglyceridemia,"Dyslipidemia, All",ICD-9-CM Diagnosis,31/32
272.2,Mixed hyperlipidemia,"Dyslipidemia, All",ICD-9-CM Diagnosis,31/32
272.3,Hyperchylomicronemia,"Dyslipidemia, All",ICD-9-CM Diagnosis,31/32
272.4,Other and unspecified hyperlipidemia,"Dyslipidemia, All",ICD-9-CM Diagnosis,31/32
272.5,Lipoprotein deficiencies,"Dyslipidemia, All",ICD-9-CM Diagnosis,31/32
272.6,Lipodystrophy,"Dyslipidemia, All",ICD-9-CM Diagnosis,31/32
272.7,Lipidoses,"Dyslipidemia, All",ICD-9-CM Diagnosis,31/32
272.8,Other disorders of lipoid metabolism,"Dyslipidemia, All",ICD-9-CM Diagnosis,31/32
272.9,Unspecified disorder of lipoid metabolism,"Dyslipidemia, All",ICD-9-CM Diagnosis,31/32
275598004,"Hyperlipoproteinemia, type I","Dyslipidemia, All",SNOMED CT US Edition,20250901
28212002,Intestinal lipofuscinosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
297278001,Metachromatic leukodystrophy due to deficiency of cerebroside sulfatase activator,"Dyslipidemia, All",SNOMED CT US Edition,20250901
299465007,Familial multiple lipoprotein-type hyperlipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
302870006,Hypertriglyceridemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
307127004,Isolated long chain hydroxyacyl-CoA dehydrogenase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
307128009,Combined long chain hydroxyacyl-CoA dehydrogenase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
307130006,3-Ketoacyl-CoA triolase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
33316007,GM2 gangliosidosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
33513003,Familial apolipoprotein C-II deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
34349009,Familial type 5 hyperlipoproteinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
34528009,Familial hypertriglyceridemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
361203007,Malonic aciduria,"Dyslipidemia, All",SNOMED CT US Edition,20250901
363140000,Hypolipoproteinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
368551000119104,Dyslipidemia due to type 1 diabetes mellitus,"Dyslipidemia, All",SNOMED CT US Edition,20250901
370992007,Dyslipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
3744001,Hyperlipoproteinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
39390005,"Niemann-Pick disease, type B","Dyslipidemia, All",SNOMED CT US Edition,20250901
396338004,Metachromatic leukodystrophy,"Dyslipidemia, All",SNOMED CT US Edition,20250901
397915002,Fredrickson type IIa hyperlipoproteinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
398036000,Familial hypercholesterolemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
398796005,Familial type 3 hyperlipoproteinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
398958000,"Chondrodysplasia punctata, X-linked dominant type","Dyslipidemia, All",SNOMED CT US Edition,20250901
39929009,Disorder of fatty acid metabolism,"Dyslipidemia, All",SNOMED CT US Edition,20250901
402471004,Tubero-eruptive xanthoma,"Dyslipidemia, All",SNOMED CT US Edition,20250901
402473001,Sporadic primary hypertriglyceridemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
402474007,Primary polygenic type IIb combined hyperlipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
402475008,Primary acquired chylomicronemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
402724009,Xanthoma due to abnormality of lipid metabolism,"Dyslipidemia, All",SNOMED CT US Edition,20250901
